date,service,total_cost,baseline_cost,delta,severity,top_dimension,top_value,top_value_share,top_value_delta,summary
2025-03-19,EC2,957.04,194.96,762.08,LOW,region,us-east-1,1.0,762.08,EC2 spend on 2025-03-19 is $957 (+391% vs 14-day baseline); us-east-1 region drove 100% of the increase.
2025-02-07,RDS,323.98,152.73,171.25,LOW,region,eu-west-1,1.0,171.25,RDS spend on 2025-02-07 is $324 (+112% vs 14-day baseline); eu-west-1 region drove 100% of the increase.
2025-02-06,RDS,291.53,143.34,148.19,LOW,region,eu-west-1,1.0,148.19,RDS spend on 2025-02-06 is $292 (+103% vs 14-day baseline); eu-west-1 region drove 100% of the increase.
2025-02-17,RDS,346.96,241.03,105.92,LOW,region,eu-west-1,1.0,105.92,RDS spend on 2025-02-17 is $347 (+44% vs 14-day baseline); eu-west-1 region drove 100% of the increase.
2025-02-11,RDS,280.03,186.43,93.6,LOW,region,eu-west-1,1.0,93.6,RDS spend on 2025-02-11 is $280 (+50% vs 14-day baseline); eu-west-1 region drove 100% of the increase.
2025-02-16,RDS,308.93,228.39,80.54,LOW,region,eu-west-1,1.0,80.54,RDS spend on 2025-02-16 is $309 (+35% vs 14-day baseline); eu-west-1 region drove 100% of the increase.
2025-02-12,RDS,277.45,197.19,80.26,LOW,region,eu-west-1,1.0,80.26,RDS spend on 2025-02-12 is $277 (+41% vs 14-day baseline); eu-west-1 region drove 100% of the increase.
2025-02-02,DynamoDB,100.28,34.14,66.14,LOW,region,us-east-1,1.0,66.14,DynamoDB spend on 2025-02-02 is $100 (+194% vs 14-day baseline); us-east-1 region drove 100% of the increase.
2025-02-14,RDS,274.14,212.63,61.51,LOW,region,eu-west-1,1.0,61.51,RDS spend on 2025-02-14 is $274 (+29% vs 14-day baseline); eu-west-1 region drove 100% of the increase.
2025-03-28,S3,164.75,116.43,48.32,LOW,region,us-east-1,1.0,48.32,S3 spend on 2025-03-28 is $165 (+42% vs 14-day baseline); us-east-1 region drove 100% of the increase.
2025-03-14,S3,129.59,82.05,47.54,LOW,region,us-east-1,1.0,47.54,S3 spend on 2025-03-14 is $130 (+58% vs 14-day baseline); us-east-1 region drove 100% of the increase.
2025-03-18,S3,127.84,91.99,35.85,LOW,region,us-east-1,1.0,35.85,S3 spend on 2025-03-18 is $128 (+39% vs 14-day baseline); us-east-1 region drove 100% of the increase.
2025-03-27,S3,142.16,113.19,28.97,LOW,region,us-east-1,1.0,28.97,S3 spend on 2025-03-27 is $142 (+26% vs 14-day baseline); us-east-1 region drove 100% of the increase.
